EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.928067147731781,93,0.9470784068107605
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.5851612687110901,186,0.6030686497688293
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.36589986085891724,279,0.3347710967063904
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.24167683720588684,372,0.23419563472270966
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.15153497457504272,465,0.16868983209133148
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.24887774884700775,558,0.12611636519432068
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.09881627559661865,651,0.11997900903224945
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.8, 'recall': 0.5671641791044776, 'f1-score': 0.6637554585152838, 'support': 134}","{'precision': 0.8858695652173914, 'recall': 0.3606194690265487, 'f1-score': 0.5125786163522013, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8566308243727598, 'recall': 0.3556547619047619, 'f1-score': 0.5026288117770767, 'support': 672}","{'precision': 0.42146739130434785, 'recall': 0.23194591203275655, 'f1-score': 0.2940835187168713, 'support': 672}","{'precision': 0.755376552795031, 'recall': 0.3556547619047619, 'f1-score': 0.47712613992893305, 'support': 672}",0.09937293827533722,744,0.0959504097700119
"{'precision': 0.6666666666666666, 'recall': 0.037037037037037035, 'f1-score': 0.07017543859649122, 'support': 54}","{'precision': 0.6590909090909091, 'recall': 0.6492537313432836, 'f1-score': 0.6541353383458646, 'support': 134}","{'precision': 0.9375, 'recall': 0.4646017699115044, 'f1-score': 0.6213017751479291, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8328690807799443, 'recall': 0.44494047619047616, 'f1-score': 0.5800193986420951, 'support': 672}","{'precision': 0.5658143939393939, 'recall': 0.28772313457295623, 'f1-score': 0.3364031380225712, 'support': 672}","{'precision': 0.8155776515151514, 'recall': 0.44494047619047616, 'f1-score': 0.5539762074247326, 'support': 672}",0.04750126227736473,837,0.053365204483270645
"{'precision': 0.8235294117647058, 'recall': 0.25925925925925924, 'f1-score': 0.39436619718309857, 'support': 54}","{'precision': 0.6423357664233577, 'recall': 0.6567164179104478, 'f1-score': 0.6494464944649446, 'support': 134}","{'precision': 0.8574938574938575, 'recall': 0.7721238938053098, 'f1-score': 0.8125727590221187, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.803921568627451, 'recall': 0.6711309523809523, 'f1-score': 0.7315490673154906, 'support': 672}","{'precision': 0.5808397589204802, 'recall': 0.4220248927437542, 'f1-score': 0.4640963626675405, 'support': 672}","{'precision': 0.7710279829214995, 'recall': 0.6711309523809523, 'f1-score': 0.7077447797383744, 'support': 672}",0.06414634734392166,930,0.046122483909130096
